FID,OBJECTID,NOMBRE_EMP,NOMBRE_FAE,REGIÓN_IN,PROVINCIA,COMUNA_INS,NOMBRE_INS,TIPO_INSTA,RECOBRERSO,UTM_NORTE,UTM_ESTE,COTA,ESTADO_INS,FECHA_RE,RES,FECHA_RES_,RES_PDC,METODO_CON,OBS,NEAR_FID,NEAR_DIST,OBSVCN,Vol_Parcia,Vol_Total_,Ton_Parcia,Ton_Total_,Area_1,NORTE_GEO,ESTE_GEO
23,762,WALDO FERREL OJAVO,PLANTA PUNITAQUI,IV,LIMARI,PUNITAQUI,PUNITAQUI 1,TRANQUE DE RELAVE,ORO,"6,585,979.567200000400000","284,871.771300000020000",252.000000000000000,S/I, ,1042, , ,AGUAS ARRIBA,VERIFICAR DEPOSITO,"45,010",646.346335393000000, ,0,"2,400",0,"3,600","1,000",-30.8398623541443,-71.2494255809435
24,976,CIA. MINERA FORTUNA LTDA.,PLANTA PUERTO RICO,III,COPIAPO,COPIAPO,EMBALSE 3,EMBALSE,COBRE,"6,969,741.772900000200000","367,460.091599999990000",0.000000000000000,ACTIVO,S/I, ,28-10-2015,405,N_A,"ACTUALIZAR DATOS PARCIALES, E700 ANTIGUO","64,392","1,597.567359520000100", ,0,0,0,0,0,-27.3892088864459,-70.3404582120672
25,24,NELSON ZUÑIGA CARVAJAL,PLANTA SANTA LAURA,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,"6,965,601.333100000400000","369,869.605400000000000",485.000000000000000,ACTIVO,S/I,598, , , , ,"64,392","2,359.456823770000000", ,0,"54,800",0,"79,460",0,-27.4268111355566,-70.316537474894
26,26,ZSC MINERALS,PLANTA MARIA ISABEL,III,COPIAPO,TIERRA AMARILLA,TRANQUE DE RELAVE,TRANQUE DE RELAVE,HIERRO,"6,964,413.284599999900000","374,360.235500000010000",444.000000000000000,ACTIVO,15-07-1986,702,06-11-2015,416, , ,"64,392",165.019499563000010, ,0,0,0,0,0,-27.4379558886191,-70.2712375710999
27,27,PEDRO JESUS CASTILLO VEGA,PLANTA RAPELINA,III,COPIAPO,COPIAPO,EMBALSE DE RELAVE,EMBALSE,ORO,"6,969,385.408800000300000","367,309.418999999990000",442.000000000000000,ACTIVO,S/I,S/I, , , , ,"64,392","1,929.916313499999900", ,0,0,0,0,0,-27.3924106408854,-70.3420205546619
28,28,ENAMI,PLANTA MATTA,III,COPIAPO,COPIAPO,TRANQUE DE RELAVE 3,TRANQUE DE RELAVE,COBRE,"6,968,324.394600000200000","376,075.856199999980000",479.000000000000000,ACTIVO,29-08-1986,867,22-10-2015,2649, , ,"65,145","1,338.762449540000000", ,"10,585,292","10,900,000","15,877,938","16,350,000","849,956",-27.4028119229478,-70.2534834348943
29,29,ENAMI,PLANTA VALLENAR,III,HUASCO,VALLENAR,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE,"6,838,971.366800000000000","330,316.106600000000000",511.000000000000000,ACTIVO,13-09-2007,861,09-06-2015,1574,AGUAS ABAJO, ,"41,414",326.582899610000030, ,"1,001,830","3,139,460","1,502,745","4,709,190","105,247",-28.5650649897431,-70.7347780081724
30,977,SOC. CONTRACTUAL MINERA ALIANZA,PLANTA VIÑITA AZUL,III,COPIAPO,COPIAPO,TRANQUE 3,EMBALSE,COBRE,"6,966,704.097699999800000","369,079.956799999990000",440.000000000000000,ACTIVO,10-04-2014,268,30-04-2014,345, ,"DATOS DESACTUALIZADOS, LEVANTAR.","64,392","1,646.873514039999900", ,0,"44,747",0,"72,409",0,-27.4167823153333,-70.3244059104267
31,31,CODELCO,SALVADOR,III,CHAÑARAL,DIEGO DE ALMAGRO,PAMPA AUSTRAL,TRANQUE DE RELAVE,COBRE-MOLIBDENO,"7,096,834.340400000100000","391,878.238200000020000",0.000000000000000,ACTIVO,06-06-2012,1908,01-06-2011,1514, , ,"81,862","1,369.499498319999900", ,"179,438,999","195,333,333","269,158,498","293,000,000","15,697,600",-26.2440739001102,-70.0825859878419
32,33,SINDICATO ARTESANAL MINERO POZO SECO,PLANTA POZO SECO,III,HUASCO,VALLENAR,TRANQUE DE RELAVE,TRANQUE DE RELAVE,ORO,"6,818,034.491999999600000","326,736.850400000000000",884.000000000000000,ACTIVO,S/I,S/I, , , ,CORROBORAR. SON PISCINAS ?,"40,870",320.107422685000020, ,0,"1,900",0,"2,850",0,-28.7534866961193,-70.7745358279751
33,35,OP MINING CHILE SpA,PLANTA OP (EX FARAH),III,COPIAPO,COPIAPO,FARAH 1-2-3-4-5-6-7,TRANQUE DE RELAVE,COBRE-ORO-FIERRO,"6,967,802.403500000000000","366,905.929500000030000",0.000000000000000,NO ACTIVO,03-03-2015,82,13-08-2015,281, ,"SE INFORMAN 7 DEPOSITOS. PLANTA ARRENDADA, DUEÑO CCA CHILE INVERSION Y DESARROLO MINERO S.A.","64,392","3,349.584807029999900", ,0,0,0,0,0,-27.4066588679795,-70.3462736145903
